subject,datavyu_bin,onset,offset,who_relation,placed_object,base_object,base_coder,Notes,,,,,,,,,,,,,,,,
30mosub05,25,125000,129999,parent_on,18,,JH,No SR - parent didn't touch,,,,,,,,,,,,,,,,
30mosub05,26,130000,134999,child_on,18,7,JH,,,,,,,,,,,,,,,,,
30mosub05,39,195000,199999,parent_on,8,21,JH,,,,,,,,,,,,,,,,,
30mosub05,45,225000,229999,child_on,3,7,JH,,,,,,,,,,,,,,,,,
30mosub05,45,225000,229999,parent_on,3,7,JH,,,,,,,,,,,,,,,,,
30mosub05,46,230000,234999,parent_on,3,7,JH,,,,,,,,,,,,,,,,,
30mosub05,58,290000,294999,child_on,9,7,JH,,,,,,,,,,,,,,,,,
30mosub05,59,295000,299999,child_on,9,7,JH,,,,,,,,,,,,,,,,,
30mosub05,59,295000,299999,parent_on,9,7,JH,,,,,,,,,,,,,,,,,
30mosub05,67,335000,339999,child_on,12,12,JH,,,,,,,,,,,,,,,,,
30mosub05,69,345000,349999,child_in,11,17,JH,parent also touched object,,,,,,,,,,,,,,,,
30mosub05,72,360000,364999,child_on,12,12,JH,,,,,,,,,,,,,,,,,
30mosub05,72,360000,364999,parent_on,12,,JH,No SR,,,,,,,,,,,,,,,,
30mosub05,109,545000,549999,child_in,11,26,JH,,,,,,,,,,,,,,,,,
30mosub05,110,550000,554999,child_in,11,26,JH,,,,,,,,,,,,,,,,,
30mosub05,112,560000,564999,child_in,5,26,JH,,,,,,,,,,,,,,,,,
30mosub05,112,560000,564999,parent_in,5,,JH,No SR,,,,,,,,,,,,,,,,
30mosub05,113,565000,569999,child_in,5,26,JH,,,,,,,,,,,,,,,,,
30mosub05,114,570000,574999,child_in,5,26,JH,,,,,,,,,,,,,,,,,
30mosub05,114,570000,574999,parent_in,5,26,JH,,,,,,,,,,,,,,,,,
30mosub05,115,575000,579999,child_in,5,26,JH,,,,,,,,,,,,,,,,,
30mosub05,117,585000,589999,child_in,5,26,JH,,,,,,,,,,,,,,,,,
30mosub05,118,590000,594999,child_in,11,26,JH,,,,,,,,,,,,,,,,,
30mosub05,118,590000,594999,parent_on,8,26,JH,,,,,,,,,,,,,,,,,
30mosub05,119,595000,599999,child_on,8,26,JH,,,,,,,,,,,,,,,,,
30mosub05,119,595000,599999,parent_on,8,26,JH,,,,,,,,,,,,,,,,,
30mosub06,41,205000,209999,parent_on,31,,IL,No SR,,,,,,,,,,,,,,,,
30mosub06,44,220000,224999,child_on,31,,IL,No SR,,,,,,,,,,,,,,,,
30mosub06,45,225000,229999,child_on,31,99,IL,,,,,,,,,,,,,,,,,
30mosub06,46,230000,234999,child_on,31,99,IL,,,,,,,,,,,,,,,,,
30mosub06,49,245000,249999,child_on,31,99,IL,,,,,,,,,,,,,,,,,
30mosub06,74,370000,374999,child_on,12,,IL,No SR,,,,,,,,,,,,,,,,
30mosub06,77,385000,389999,child_on,12,,IL,No SR,,,,,,,,,,,,,,,,
30mosub06,78,390000,394999,child_on,12,12,IL,,,,,,,,,,,,,,,,,
30mosub06,81,405000,409999,child_on,12,,IL,No SR,,,,,,,,,,,,,,,,
30mosub06,81,405000,409999,parent_on,12,,IL,,,,,,,,,,,,,,,,,
30mosub07,21,105000,109999,parent_on,12,,IL,No SR; SR was in 22,,,,,,,,,,,,,,,,
30mosub07,131,650000,654999,child_on,12,,IL,No SR; SR was in 132,,,,,,,,,,,,,,,,
30mosub08,1,5000,9999,child_in,31,,IL,Coding didn't match the video,,,,,,,,,,,,,,,,
30mosub08,1,5000,9999,parent_in,31,,IL,Coding didn't match the video,,,,,,,,,,,,,,,,
30mosub08,5,25000,29999,parent_on,12,,IL,Coding didn't match the video,,,,,,,,,,,,,,,,
30mosub08,57,285000,289999,parent_on,8,,IL,Coding didn't match the video,,,,,,,,,,,,,,,,
30mosub08,69,345000,349999,parent_on,22,,IL,Coding didn't match the video,,,,,,,,,,,,,,,,
30mosub09,0,0,4999,child_on,30,30,IL,,,,,,,,,,,,,,,,,
30mosub09,3,15000,19999,child_on,30,,IL,No SR,,,,,,,,,,,,,,,,
30mosub09,3,15000,19999,parent_on,30,30,IL,,,,,,,,,,,,,,,,,
